Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery,Above_90
1166,US,"This is made from 92% Cabernet Sauvignon and 8% Pinot Noir, an interesting and fulfilling combination thats robust on the palate. Pinkish-orange in color, it's both tangy and weighty, finishing dry in orange zest.",Rose & Thistle,90,35.0,California,Napa Valley,Napa,Rosé,Adair Bachman,0
4566,US,"A blend of 92% Chardonnay and 8% Pinot Noir, this is elegant in weight, offering a brioche note that adds character to the subdued pomaceous flavors.",SP Brut Rosé,86,28.0,Virginia,Monticello,,Sparkling Blend,Trump,0
5839,Australia,"Turkey Flat's rosé has been an Aussie staple for more than decade. The 2015 is 92% Grenche, with the balance a blend of Cabernet Sauvignon, Shiraz, Dolcetto and Mataro. Crushed stone and red berry scents lead the way, followed by flavors that are reminiscent of white chocolate and strawberries. It's fairly weighty for a rosé, with a long, slightly viscous finish.",,88,20.0,South Australia,Barossa Valley,,Rosé,Turkey Flat,0
10349,US,"Despite seeing a wealth of new oak (92% new French and American), the fruit takes front and center, with notes of dark plum and peppery spices. The palate is full bodied, rich and viscous in feel, with a lingering, coffee-filled finish.",The Reserve,91,30.0,Washington,Horse Heaven Hills,Columbia Valley,Malbec,14 Hands,1
11804,Portugal,"This is a blend of five Colheita vintages, the oldest 1981, the youngest 1992. It has many of the characters of a single vintage Colheita with one exception: it is fresher, retaining a surprising and impressive amount of fruit. The wood aging has left the wine rich and spicy with just a hint of dryness. Drink this wine now.",Very Old Tawny Special Edition,93,290.0,Port,,,Port,Barros,1
12201,US,"A vineyard along the Silverado Trail in Napa, not far from the winery, Grande was planted in 1920 and is still farmed by the original farmer's family, Dorothy and Tony Rossi. Here, it offers structure and elegance despite a brooding weight and power, the flavors leaning toward blackberry and licorice.",Grande Vineyard,94,50.0,California,Napa Valley,Napa,Zinfandel,Robert Biale,1
12501,US,"From a vineyard planted in 1924 in the northern reaches of the Napa Valley, Falleri is a tiny-production wine that's soft, supple and generously juicy and fruity. Boysenberry, blackberry and a trace of crisp red fruit combine around a core of earth, dotted by a floral bouquet. The finish is long and leathery.",Falleri Vineyard,93,62.0,California,Calistoga,Napa,Zinfandel,Robert Biale,1
12715,France,"Produced from a single parcel, whose origins go back to 1492, this fresh, herbal and crisp wine is fruity and complex at the same time. Intense acidity is allied with pineapple and apricot flavors. The elegant mineral texture cuts through the fruitiness, giving a fine structure. The wine is now ready to drink.",La Vigne de Beaussoppet,93,33.0,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Domaine Laporte,1
14298,France,"92-94 Barrel sample. Rich and smooth, with some juicy character, the fruit with black cherries, licorice and sweet jam. At the level of many top wines, this is the second wine Château Ausone.",La Chapelle d'Ausone Barrel sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Ausone,1
14299,France,"92-94 Barrel sample. Soft, ripe, pineapple and mango flavors. An exotic wine, powerful, but with extreme freshness, touched by honey.",Le Pavillon Blanc du Château Margaux Barrel sample,93,,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Margaux,1
14300,France,"92-94 Barrel sample. A powerful, but velvet textured wine, the tannins dusty and sweet. There is great acidity here, the fruit soft, hiding its power. The aftertaste has lively acidity.",Les Forts de Latour Barrel sample,93,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Latour,1
14301,France,"92-94 Barrel sample. The wine feels very soft, with sweet spice and light tannins. It is packed with blackberry fruits, although there is a sold, firm structure under the ripe fruit.",La Dame de Montrose Barrel sample,93,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Montrose,1
14302,France,"92-94 Barrel sample. Very rich, smooth tannins, super-ripe fruit dominate the wine. It has power, spice and sweetness, very ripe. Blackberry and dark chocolate",Les Pagodes de Cos Barrel sample,93,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Cos d'Estournel,1
14303,France,"92-94 Barrel sample. Very rich, dense, pushing great blackberry fruits and ripe tannins. As always on the level of a classed growth.",Le Pavillon Rouge de Château Margaux Barrel sample,93,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Margaux,1
14304,France,"92-94 Barrel sample. This has fruit, with delicious black berry frutis, It cjharms with elegance and ripeness, at the same time as giving a core of tannin. Definitely on the fruity side.",Croix de Beaucaillou Barrel sample,93,,Bordeaux,Saint-Julien,,Bordeaux-style Red Blend,Château Ducru Beaucaillou,1
14551,France,"90-92 Barrel sample. This is almost a third wine of Château Valandraud, rich, sweetly fruity, very ripe and spice. Delicious fruit.",B de Valandraud Barrel sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Valandraud,1
14552,France,"90-92 Barrel sample. Good ripe fruit, very dense with concentrated black chocolate and ripe fruits, but showing some alcohol burn.",Péby Faugères barrel sample,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Faugères,1
20964,France,"92-94. Barrel sample. Very dry, firm and hard, this is heavily dominated by new wood. It's only the underlying weight that suggests the black fruit potential.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Angélus,1
20965,France,"92-94. Barrel sample. A smooth and rich wine that also shows depth of flavor. Wrapped in its tight texture are notes of peach and mango, bitter orange and lemon zest. It's a fine wine that should age for many years.",Barrel Sample,93,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château de Fargues,1
20966,France,"92-94. Barrel sample. A ripe and spicy wine, with crisp fruit. The wine has an attractive fruitiness, and its tannins are not aggressive. This shows great final acidity.",Barrel Sample,93,,Bordeaux,Saint-Julien,,Bordeaux-style Red Blend,Château Lalande-Borie,1
20967,France,92-94. Barrel sample. Creamed fruit aromas are followed by a herbaceous quality. The wine has some richness and new-wood flavors; mouth-watering acidity marks the finish.,Barrel Sample,93,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Larrivet Haut-Brion,1
20968,France,"92-94. Barrel sample. This is a dense wine, with complex and concentrated flavors of sweet plum, chocolate and licorice. It's powerful, showing its extraction.",Barrel Sample,93,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Lynch-Moussas,1
20969,France,"92-94. Barrel sample. Firm and complex, it shows both ripe fruit and weighty tannins, and is still very closed and tight. This is a powerful expression of the vintage—a wine that should age well.",Barrel Sample,93,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Prieuré-Lichine,1
21000,France,"92-94. Barrel sample. While the wood is prominent, so is its concentrated, perfumed fruit. With its immense structure, this wine is spicy and very intense.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Le Dôme,1
21001,France,"92-94. Barrel sample. A powerful wine, with dark fruits and structured tannins. Impressively rich, it is dense and black in character.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Vieux Château Mazerat,1
21002,France,"92-94. Barrel sample. There is weight, richness and firm spice flavor here. The wine has a juicy character along with firm tannins. It shows the pure fruit freshness of the vintage, with a little extra weight.",Les Forts de Latour Barrel Sample,93,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Latour,1
21003,France,"92-94. Barrel sample. This wine is tight and taut, with minerality. Its fruit is heavily citrusy, with a character that cuts like steel through the nervy texture. This shows aging potential.",Barrel Sample,93,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Latour-Martillac,1
21004,France,92-94. Barrel sample. Ripe and sweet tannins combine easily with this wine's juicy fruit and spice notes. All of the elements hang comfortably together.,Barrel Sample,93,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château les Ormes de Pez,1
21005,France,"92-94. Barrel sample. DA dark, dry wine that shows its strong, firm tannins. The wine is well structured, with flavors of mint, new wood and a layer of blackberry fruit.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Magdelaine,1
21006,France,"92-94. Barrel sample. This wine shows its crisp side immediately, followed by flavors of rich fruit. The wine has weight that lies underneath its deliciously fresh character, and there is a final note of spiced orange.",Barrel Sample,93,,Bordeaux,Barsac,,Bordeaux-style White Blend,Château Nairac,1
21007,France,"92-94. Barrel sample. Mint flavors make the initial impression, with its fruit buried deep in the concentrated structure. Wood tannins dominate this polished wine, but its finish shows a juicy character.",Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Beau-Séjour Bécot,1
21008,France,"92-94. Barrel sample. This is a dark wine that's dominated by firm and dry tannins. It has weight and power, with juicy plum flavors showing slowly under the tannins. Shows long-aging potential.",Barrel Sample,93,,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Belgrave,1
21009,France,"92-94. Barrel sample. Mint, smooth fruit and new-wood flavors overlay the firm tannins. Juicy and attractive, this wine has structure, complexity and an innate fresh character.",Barrel Sample,93,,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Croizet-Bages,1
21010,France,"92-94. Barrel sample. An intensely powerful wine—so rich that it overwhelms with its weight. At the same time, there is a great core of fine acidity that cuts the richness well.",Barrel Sample,93,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château de Malle,1
21011,France,"92-94. Barrel sample. A big wine that's packed with ripe dark-plum flavors, smoky tannins and richness. It shows a powerful, balanced structure.",La Chapelle d'Ausone Barrel Sample,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Ausone,1
21012,France,"92-94. Barrel sample. A very firm and closed wine, it shows its tannins rather than its fruit. With its weight, this dark wine should become rounded with age.",Barrel Sample,93,,Bordeaux,Saint-Julien,,Bordeaux-style Red Blend,Château Beychevelle,1
21013,France,"92-94. Barrel sample. Firm and concentrated, this wine has great structure and density along with acidity and berry flavor. There is an attractive final spicy element.",Barrel Sample,93,,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Certan de May de Certan,1
